p,e_avg,e_sd,t_avg,t_sd
0.10,130806,304.8652,6.5862,0.148
0.15,201609,413.2139,6.6734,0.437
0.20,275678,450.7969,6.474,0.079
0.25,353867,412.0798,6.5098,0.166
0.30,437749,523.4762,6.5552,0.171
0.35,527013,641.6545,6.541,0.155
0.40,622046,1428.356,6.6472,0.195
0.45,724618,1276.402,6.87,0.503
0.50,836757,830.0872,6.6116,0.270
0.55,959416,664.9592,6.6406,0.146
0.60,1093788,1119.34,6.589,0.149
0.65,1245804,423.04,6.6854,0.180
0.70,1417774,1183.058,6.6786,0.197
0.75,1617962,451.8069,6.5336,0.075
0.80,1858009,743.9716,6.644,0.113
0.85,2160150,1735.997,6.615,0.095
0.90,2570230,571.7611,6.9656,0.377
