v,t_avg,t_sd
2000,0.1736667,0.008
4000,0.3353333,0.002
6000,0.5123333,0.001
8000,0.7236667,0.021
10000,0.9006667,0.006
12000,1.126667,0.028
14000,1.337667,0.020
16000,1.587,0.026
18000,1.886667,0.120
20000,2.127,0.104
22000,2.297,0.023
24000,2.566333,0.049
26000,2.844,0.074
28000,3.079667,0.015
30000,3.434,0.041
32000,3.766333,0.139
34000,4.077667,0.094
36000,4.299,0.010
38000,4.683333,0.030
40000,4.943333,0.040
42000,5.322667,0.057
44000,5.692667,0.026
46000,6.127333,0.155
48000,6.400333,0.052
50000,6.847667,0.049
52000,7.164667,0.064
54000,7.527,0.039
56000,7.946667,0.071
58000,8.4,0.090
60000,8.933,0.074
62000,9.543333,0.237
64000,9.761333,0.087
66000,10.25733,0.072
68000,10.682,0.212
70000,11.13933,0.124
72000,11.681,0.029
74000,12.221,0.317
76000,12.601,0.122
78000,13.176,0.205
80000,13.931,0.156
82000,14.12767,0.042
84000,14.782,0.308
86000,15.42767,0.186
88000,15.77867,0.351
90000,16.32467,0.288
92000,17.01933,0.531
94000,17.37467,0.087
96000,17.88933,0.282
98000,18.50933,0.375
100000,18.90333,0.037
